amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraudPredicted,isFraud
109676.88,0.0,0.0,360092.0,0.0,0,0
2448.15,7528278.43,7530726.58,35427.0,31301.49,0,0
408176.98,1467409.79,1875586.77,566605.73,158428.75,0,0
1408246.73,308026.0,0.0,1490136.7,2898383.43,0,0
7865.47,0.0,0.0,0.0,0.0,0,0
274475.45,0.0,0.0,985001.71,2258295.49,0,0
97177.42,949732.0,852554.58,32345.7,129523.12,0,0
193467.26,31627.0,0.0,30665.0,160544.18,0,0
124163.35,10897655.69,11021819.05,2298667.88,2358600.11,0,0
13703.6,0.0,0.0,351512.27,657847.45,0,0
168494.53,1816903.35,1985397.88,543754.6,916266.8,0,0
29754.08,90432.93,60678.85,0.0,0.0,0,0
3579.63,0.0,0.0,0.0,0.0,0,0
2864.19,398335.26,401199.45,600065.0,288280.28,0,0
279502.48,26373.0,0.0,990420.69,1581311.49,0,0
88810.74,582.0,0.0,55550.0,99302.15,0,0
339577.36,10933.0,0.0,174890.0,3669753.0,0,0
25096.3,0.0,0.0,0.0,0.0,0,0
252535.04,161702.0,0.0,180.0,473786.79,0,0
212504.16,0.0,0.0,234727.81,99097.68,0,0
49469.44,41510.0,0.0,74855.48,262948.58,0,0
101626.07,2597360.36,2698986.42,291073.35,181806.03,0,0
27148.64,1904405.59,1931554.23,488529.17,470329.91,0,0
360921.66,81044.0,441965.66,0.0,0.0,0,0
17320.91,0.0,0.0,0.0,0.0,0,0
72468.2,49567.0,122035.2,2245464.59,2547132.27,0,0
86332.57,0.0,0.0,437009.45,606016.61,0,0
9616.92,0.0,0.0,0.0,0.0,0,0
8346.21,45617.0,37270.79,0.0,0.0,0,0
15381.22,0.0,0.0,0.0,0.0,0,0
44504.38,24794.98,0.0,0.0,0.0,0,0
57323.7,39972.0,97295.7,0.0,34754.44,0,0
118168.2,0.0,0.0,1776807.79,1798734.57,0,0
2976918.48,161.0,0.0,25487.69,3002406.17,0,0
22047.32,0.0,0.0,0.0,0.0,0,0
161919.3,2867837.77,3029757.07,174117.93,126467.29,0,0
58153.93,231661.0,173507.07,0.0,0.0,0,0
237986.74,6123011.48,6360998.22,534543.33,33856.23,0,0
7290.88,1277151.44,1269860.56,0.0,0.0,0,0
290124.75,1958074.46,2248199.21,294971.9,4847.15,0,0
267247.16,121.0,0.0,0.0,260056.38,0,0
280267.65,0.0,0.0,978778.15,1259045.81,0,0
21236.36,0.0,0.0,0.0,0.0,0,0
421199.35,11134.0,0.0,0.0,542049.12,0,0
294877.73,0.0,0.0,5975306.21,8852678.81,0,0
96.8,238000.17,237903.38,0.0,0.0,0,0
14877.73,292863.94,277986.21,0.0,0.0,0,0
8368.62,22416.0,14047.38,0.0,0.0,0,0
8261.93,0.0,0.0,0.0,0.0,0,0
5352.54,35423.0,30070.46,0.0,0.0,0,0
14017.83,629.0,0.0,0.0,0.0,0,0
100717.89,6506127.93,6606845.82,1026808.37,628215.82,0,0
14862.34,0.0,0.0,0.0,0.0,0,0
117904.82,0.0,0.0,1199709.53,1226457.08,0,0
111657.1,0.0,0.0,4069257.89,5549142.73,0,0
10164.21,10002.0,0.0,0.0,0.0,0,0
295595.12,1228936.17,1524531.29,964268.94,998622.3,0,0
1835.41,20578.0,18742.59,0.0,0.0,0,0
477940.82,11643.0,489583.82,281165.43,0.0,0,0
70671.53,53318.25,0.0,74071.0,59130.14,0,0
206155.46,0.0,0.0,1247584.58,1364209.26,0,0
4116.94,0.0,0.0,0.0,0.0,0,0
5970.78,6657.0,686.22,0.0,0.0,0,0
3626.02,6969293.38,6972919.4,21386.0,0.0,0,0
6973.19,91296.4,84323.21,0.0,0.0,0,0
143504.96,51629.0,195133.96,103021.64,0.0,0,0
12882.91,20640.0,7757.09,0.0,0.0,0,0
5052.01,46819.8,41767.78,0.0,0.0,0,0
314597.57,69833.0,0.0,0.0,314597.57,0,0
519390.7,243725.18,763115.88,2636.0,176701.68,0,0
21464.6,0.0,0.0,0.0,0.0,0,0
32468.77,21458.0,0.0,0.0,0.0,0,0
1477935.44,124300.0,0.0,20109.0,1670282.0,0,0
255452.54,1716.0,0.0,1751264.56,2189254.33,0,0
68339.46,2217.0,0.0,0.0,1114119.75,0,0
138801.17,0.0,0.0,226680.59,345864.41,0,0
316791.68,10880.0,0.0,2542331.84,2596217.07,0,0
66452.71,458925.5,392472.79,0.0,0.0,0,0
2645.88,94.0,0.0,0.0,0.0,0,0
1802.68,986407.6,984604.92,0.0,0.0,0,0
21491.92,13183.68,0.0,0.0,0.0,0,0
121574.91,0.0,0.0,1832844.73,2079689.31,0,0
7111.05,602526.98,595415.94,0.0,0.0,0,0
5292.1,206766.0,201473.9,0.0,0.0,0,0
42526.19,0.0,0.0,192254.6,910817.86,0,0
192203.61,64630.99,0.0,320490.75,512694.37,0,0
590514.54,292.0,0.0,11932.35,542963.38,0,0
7147.25,1526.32,0.0,19576.0,1472554.74,0,0
327775.4,0.0,0.0,6823665.92,9169734.38,0,0
471568.2,193104.0,664672.2,99018.98,0.0,0,0
3480.58,0.0,0.0,0.0,0.0,0,0
74298.06,0.0,0.0,345153.96,638371.63,0,0
40543.26,0.0,0.0,3230978.27,4605990.97,0,0
477742.71,8824664.62,9302407.33,688472.7,240546.51,0,0
2823.59,986.0,0.0,0.0,0.0,0,0
123789.7,0.0,0.0,2688467.91,2777042.29,0,0
2114084.68,0.0,0.0,2294457.89,4285169.14,0,0
235486.07,365705.68,601191.75,324805.4,404128.0,0,0
