ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Gender_Male,Married_Yes,Education_Not Graduate,Self_Employed_Yes,Property_Area_Semiurban,Property_Area_Urban,Dependents,Actual Output,Predictions
4050,5302.0,138.0,360.0,1.0,1,1,1,0,0,0,1.0,0,1
19215,0.0,157.1894224219648,360.0,0.7439524348950457,1,0,0,0,0,0,0.0,0,0
5191,0.0,132.0,360.0,1.0,0,0,1,0,1,0,1.0,1,1
2966,1626.149721072153,117.71123507904318,404.09470680410067,0.6325441099658279,1,1,0,0,0,1,1.2650882199316558,0,0
2956,0.0,85.00890100224382,352.1971330493317,0.1300477825111387,1,0,0,0,0,0,0.0,0,0
2550,2042.0,126.0,360.0,1.0,1,0,1,0,0,0,0.0,1,1
3459,0.0,25.0,120.0,1.0,1,1,0,1,1,0,0.0,1,1
4975,0.0,114.1335662991226,360.0,0.0,0,0,0,0,0,0,0.4453426519649044,0,0
4031,0.0,125.24936741916656,221.25948871250165,0.7707806182638798,0,0,0,0,0,0,2.3123418547916392,0,0
4682,1937.3479470201405,177.59399430146502,360.0,1.0,1,0,0,0,1,0,0.0,0,0
5000,2541.0,151.0,480.0,1.0,0,0,0,0,0,0,0.0,0,0
7200,0.0,120.0,360.0,1.0,0,0,0,0,0,0,0.0,1,0
2449,1849.4971987770066,141.13270336323174,360.0,0.6751400611496681,0,0,0,0,0,0,0.0,0,0
9703,0.0,112.0,360.0,1.0,1,1,0,0,0,1,2.0,1,1
11203,0.0,165.61805642679866,360.0,0.5930145003605977,0,0,0,1,0,1,0.40698549963940234,0,0
2212,1866.2983752578484,115.54431340246973,360.0,0.1832430698804719,0,0,0,0,0,1,0.3664861397609438,0,0
3357,2859.0,144.0,360.0,1.0,1,1,1,0,0,1,2.0,1,1
4625,2857.0,111.0,12.0,1.0,1,1,0,0,0,1,0.0,1,1
1875,1875.0,97.0,360.0,1.0,1,1,1,1,1,0,2.0,1,1
1668,3890.0,201.0,360.0,0.0,1,1,1,0,1,0,0.0,0,0
2366,2531.0,136.0,360.0,1.0,1,0,0,0,1,0,0.0,1,1
2323,2443.329116963736,166.42001807382584,360.0,0.2176116705399127,1,0,0,0,0,0,0.0,0,0
4400,0.0,127.0,360.0,0.0,1,1,0,0,1,0,2.0,0,0
3987,1411.0,157.0,360.0,1.0,1,1,1,0,0,0,2.0,1,1
3072,2292.1273872867646,142.1455868037715,360.0,0.0,1,1,0,0,1,0,0.8380345641506604,0,0
20014,2290.792372482115,519.1514078092272,360.0,1.0,1,0,0,0,0,0,0.0,0,0
4301,0.0,118.0,360.0,1.0,1,1,0,0,0,1,0.0,1,1
3481,0.0,155.0,36.0,1.0,0,0,0,0,1,0,1.0,0,0
7948,7166.0,480.0,360.0,1.0,1,1,0,1,0,0,2.0,1,1
3846,0.0,111.0,360.0,1.0,0,0,0,0,1,0,0.0,1,1
8334,0.0,160.0,360.0,1.0,1,1,0,0,1,0,0.0,0,1
2213,0.0,66.0,360.0,1.0,0,0,1,0,0,0,0.0,1,0
4281,0.0,100.0,360.0,1.0,1,1,0,0,0,1,3.0,1,1
2920,16.12000084,87.0,360.0,1.0,1,1,0,0,0,0,0.0,1,1
3102,1282.9176582225828,118.9941099719743,360.0,0.030392273151904625,1,1,0,0,0,0,0.9696077268480954,0,0
4707,1993.0,148.0,360.0,1.0,1,0,1,0,1,0,3.0,1,1
3859,3300.0,142.0,180.0,1.0,1,1,0,0,0,0,0.0,1,1
2333,1451.0,102.0,480.0,0.0,1,0,1,0,0,1,0.0,0,0
11000,0.0,83.0,360.0,1.0,1,0,0,1,0,1,0.0,0,1
3948,1733.0,149.0,360.0,0.0,1,1,0,0,0,0,0.0,0,0
3333,2000.0,99.0,360.0,1.0,1,1,1,0,1,0,2.0,1,1
2425,2340.0,143.0,360.0,1.0,1,1,0,0,1,0,0.0,1,1
11780,840.6256399359418,295.5270905859407,360.0,0.2802085466453139,0,0,0,0,0,0,1.5604170932906278,0,0
6585,0.0,111.97346336760405,360.0,0.30319405946104605,1,0,0,0,0,0,0.0,0,0
9166,0.0,244.0,360.0,1.0,1,0,0,0,0,1,0.0,0,1
10833,0.0,234.0,360.0,1.0,1,1,0,0,1,0,0.0,1,1
2014,1929.0,74.0,360.0,1.0,1,0,0,0,0,1,0.0,1,1
3000,0.0,66.0,360.0,1.0,1,1,0,1,0,1,0.0,1,1
2787,1917.0,146.0,360.0,0.0,1,1,0,0,0,0,1.0,0,0
3438,0.0,141.48304507071327,254.974669854445,1.0,0,0,0,0,0,0,0.32415225353566357,0,0
2137,8980.0,137.0,360.0,0.0,0,0,0,0,1,0,0.0,1,0
3283,2035.0,148.0,360.0,1.0,1,1,0,0,0,1,2.0,1,1
3100,1400.0,113.0,360.0,1.0,1,1,0,0,0,1,2.0,1,1
2468,1967.5285810727642,164.59107915020573,360.0,0.745860038627012,1,1,0,0,0,0,0.0,0,0
3667,0.0,113.0,180.0,1.0,1,0,0,0,0,1,1.0,1,1
4000,2500.0,140.0,360.0,1.0,1,0,0,0,0,0,0.0,1,1
4006,1526.0,168.0,360.0,1.0,1,1,0,0,0,1,2.0,1,1
2750,1842.0,115.0,360.0,1.0,1,1,0,0,1,0,1.0,1,1
5864,4482.814000865074,198.90966457778723,282.9256494492877,1.0,1,0,0,0,0,0,0.0,0,0
3750,0.0,116.0,360.0,1.0,1,1,0,0,1,0,1.0,1,1
4895,0.0,102.0,360.0,1.0,1,0,0,0,1,0,0.0,1,1
6041,0.0,122.48874783678984,350.0150028842802,0.08320830929766487,1,0,0,0,0,0,0.16641661859532975,0,0
2333,1453.5085642748138,102.01217749647968,479.2693502112193,0.0,0,0,0,0,0,1,0.0,0,0
3858,0.0,76.0,360.0,1.0,1,0,0,0,1,0,0.0,1,1
3510,0.0,76.0,360.0,0.0,0,0,0,0,0,1,0.0,0,0
10000,0.0,155.0,360.0,1.0,1,1,0,1,0,0,1.0,0,1
3013,3033.0,95.0,300.0,1.0,1,1,0,0,0,1,0.0,1,1
3500,1083.0,135.0,360.0,1.0,1,1,1,0,0,1,1.0,1,1
3539,1376.0,55.0,360.0,1.0,1,1,0,0,0,0,0.0,0,1
1439,2973.6897204491356,100.6673323594921,360.0,0.4510195505583582,1,1,0,0,0,1,0.4510195505583582,0,0
4188,0.0,115.0,180.0,1.0,1,1,1,0,1,0,0.0,1,1
4106,0.0,40.0,180.0,1.0,1,1,0,0,0,0,3.0,1,1
2718,0.0,70.0,360.0,1.0,1,0,0,0,1,0,0.0,1,1
3947,2581.9842242960176,155.81184454895367,360.0,0.31259363586376243,1,0,0,0,0,0,1.0,0,0
3417,1750.0,186.0,360.0,1.0,1,1,0,0,0,1,1.0,1,1
6500,0.0,105.0,360.0,0.0,1,0,0,0,0,0,0.0,0,0
5739,4590.61477776009,256.79957603488504,360.0,0.9755015517323476,1,0,0,0,0,0,0.0,0,0
2764,1459.0,110.0,360.0,1.0,0,0,0,0,0,1,0.0,1,1
4300,2014.0,194.0,360.0,1.0,1,1,1,0,0,0,0.0,1,0
12500,3000.0,320.0,360.0,1.0,1,0,0,0,0,0,3.0,0,1
4727,0.0,104.28981471291817,360.0,1.0,0,0,0,0,0,0,0.5914067594224881,0,0
4583,0.0,112.0,360.0,1.0,0,1,0,0,0,0,0.0,0,0
5937,0.0,217.3453713333793,269.6288912001103,1.0,1,1,0,0,0,0,1.5061851466648288,0,0
5955,5625.0,315.0,360.0,1.0,1,1,0,0,0,1,1.0,1,1
1879,0.0,61.19304386159618,360.0,0.9971187483343854,0,0,0,0,0,0,1.0057625033312292,0,0
